date, pm25, pm10, o3, no2, so2, co
2020/12/2, 226, 153, 20, 33, 14, 27
2020/12/3, 226, , , , , 
2020/11/2, 247, 312, 25, 22, 12, 19
2020/11/3, 199, 327, 11, 9, 10, 25
2020/11/4, 187, 506, 10, 21, 18, 29
2020/11/5, 285, 426, 15, 20, 18, 25
2020/11/6, 245, 436, 15, 18, 18, 28
2020/11/7, 251, 464, 18, 21, 15, 28
2020/11/8, 307, 539, 20, 56, 18, 28
2020/11/9, 321, 706, 19, 61, 18, 33
2020/11/10, 418, 785, 21, 60, 14, 35
2020/11/11, 433, 402, 14, 40, 14, 29
2020/11/12, 240, 377, 12, 43, 12, 27
2020/11/13, 226, 375, 15, 50, 11, 29
2020/11/14, 237, 516, 19, 45, 13, 34
2020/11/15, 349, 347, 28, 26, 21, 27
2020/11/16, 348, 77, 11, 17, 9, 16
2020/11/17, 131, 73, 10, 20, 10, 16
2020/11/18, 127, 99, 24, 23, 9, 17
2020/11/19, 152, 200, 22, 30, 11, 20
2020/11/20, 168, 176, 20, 26, 10, 18
2020/11/21, 163, 159, 18, 25, 12, 18
2020/11/22, 146, 212, 17, 28, 15, 21
2020/11/23, 167, 418, 20, 39, 16, 33
2020/11/24, 222, 488, 11, 41, 14, 35
2020/11/25, 255, 433, 26, 34, 19, 28
2020/11/26, 252, 123, 10, 20, 11, 16
2020/11/27, 130, 84, 10, 21, 9, 14
2020/11/28, 126, 95, 13, 27, 12, 16
2020/11/29, 151, 101, 26, 27, 20, 17
2020/11/30, 169, 159, 17, 36, 13, 19
2020/12/1, 184, 176, 16, 38, 15, 26
2020/10/1, 139, 149, 27, 18, 8, 10
2020/10/2, 143, 144, 25, 19, 6, 12
2020/10/3, 137, 148, 31, 22, 8, 11
2020/10/4, 139, 168, 26, 20, 8, 11
2020/10/5, 135, 171, 26, 23, 11, 14
2020/10/6, 144, 226, 24, 19, 12, 14
2020/10/7, 170, 202, 33, 24, 11, 13
2020/10/8, 152, 180, 35, 23, 11, 15
2020/10/9, 153, 169, 30, 24, 10, 13
2020/10/10, 155, 170, 3, 24, 11, 15
2020/10/11, 155, 269, 20, 24, 12, 18
2020/10/12, 176, 308, 19, 21, 13, 20
2020/10/13, 185, 238, 7, 21, 11, 27
2020/10/14, 175, 274, 20, 23, 12, 14
2020/10/15, 171, 294, 13, 23, 13, 20
2020/10/16, 180, 280, 27, 31, 12, 15
2020/10/17, 175, 190, 22, 29, 10, 11
2020/10/18, 153, 221, 26, 27, 10, 15
2020/10/19, 162, 251, 27, 29, 12, 17
2020/10/20, 159, 348, 21, 28, 13, 23
2020/10/21, 169, 410, 29, 32, 15, 24
2020/10/22, 207, 457, 29, 32, 12, 18
2020/10/23, 237, 374, 18, 31, 12, 22
2020/10/24, 209, 403, 20, 31, 14, 25
2020/10/26, 220, 343, 26, 30, 10, 19
2020/10/27, 209, 222, 28, 27, 8, 19
2020/10/28, 178, 324, 31, 30, 11, 17
2020/10/29, 194, 463, 43, 36, 11, 26
2020/10/30, 242, 356, 31, 29, 11, 20
2020/10/31, 214, 348, 27, 26, 9, 21
2020/11/1, 229, 370, 30, 26, 13, 22
2020/9/2, 71, 103, 19, 16, 11, 14
2020/9/3, 96, 86, 11, 13, 10, 23
2020/9/4, 93, , , , , 
2020/9/7, 98, 80, 9, 19, 8, 
2020/9/8, 76, 94, 10, 22, 8, 10
2020/9/9, 99, 100, 7, 25, 11, 11
2020/9/10, 112, 108, 17, 18, 10, 9
2020/9/11, 115, 112, 14, 12, 7, 10
2020/9/12, 120, 101, 17, 14, 10, 10
2020/9/13, 115, 105, 7, 14, 9, 12
2020/9/14, 137, 99, 5, 15, 10, 12
2020/9/15, 128, 100, 5, 16, 11, 11
2020/9/16, 121, 88, 5, 15, 9, 11
2020/9/17, 111, 86, 4, 16, 9, 12
2020/9/18, 103, 84, 5, 17, 8, 12
2020/9/19, 112, 87, 4, 16, 8, 11
2020/9/20, 124, 92, 8, 19, 10, 12
2020/9/21, 124, 85, 5, 15, 11, 12
2020/9/22, 131, 71, 6, 13, 12, 9
2020/9/23, 71, 82, 6, 15, 10, 11
2020/9/24, 104, 113, 7, 16, 10, 14
2020/9/25, 125, 126, 4, 15, 7, 12
2020/9/26, 122, 141, 6, 15, 6, 10
2020/9/27, 93, 143, 12, 18, 5, 11
2020/9/28, 139, 144, 6, 15, 6, 13
2020/9/29, 151, 118, 3, 26, 6, 12
2020/9/30, 127, 165, 18, 18, 7, 12
2020/8/1, 110, 48, 2, 13, 9, 11
2020/8/2, 75, 51, 2, 12, 9, 9
2020/8/3, 79, 58, 2, 13, 8, 10
2020/8/4, 77, 67, 5, 14, 7, 11
2020/8/5, 111, 70, 4, 11, 7, 10
2020/8/6, 75, 55, 6, 12, 7, 10
2020/8/7, 80, 68, 4, 14, 8, 11
2020/8/8, 130, 52, 2, 11, 7, 10
2020/8/9, 109, 67, 4, 11, 7, 10
2020/8/10, 118, 74, 2, 13, 8, 12
2020/8/11, 137, 55, 2, 11, 9, 10
2020/8/12, 75, 32, 2, 11, 7, 10
2020/8/13, 64, 65, 4, 12, 7, 11
2020/8/14, 102, 59, 3, 9, 6, 9
2020/8/15, 111, 53, 5, 12, 7, 10
2020/8/16, 84, 58, 9, 13, 7, 12
2020/8/17, 103, 71, 3, 15, 8, 10
2020/8/18, 118, 45, 7, 13, 7, 10
2020/8/19, 89, 77, 7, 13, 13, 15
2020/8/20, 88, 76, 6, 9, 10, 11
2020/8/21, 81, 70, 4, 8, 14, 10
2020/8/22, 68, 58, 7, 7, 15, 12
2020/8/23, 62, 53, 13, 13, 16, 11
2020/8/24, 78, 58, 1, 12, 9, 15
2020/8/25, 60, 58, 2, 15, 15, 20
2020/8/26, 58, 59, 2, 15, 13, 17
2020/8/27, 56, 69, 11, 17, 13, 23
2020/8/28, 82, 84, 10, 16, 9, 17
2020/8/29, 95, 74, 4, 11, 10, 17
2020/8/30, 72, 39, 13, 9, 8, 13
2020/8/31, 26, , , , , 
2020/7/1, 139, 87, 17, 13, 9, 14
2020/7/2, 147, 93, 13, 14, 10, 14
2020/7/3, 155, 71, 10, 11, 9, 12
2020/7/4, 125, 43, 11, 10, 8, 12
2020/7/5, 85, 68, 5, 12, 8, 12
2020/7/6, 143, 51, 10, 8, 8, 12
2020/7/7, 79, 50, 5, 10, 8, 13
2020/7/8, 91, 58, 5, 12, 10, 12
2020/7/9, 118, 57, 5, 12, 11, 14
2020/7/10, 85, 49, 7, 13, 8, 12
2020/7/11, 78, 42, 2, 12, 6, 10
2020/7/12, 72, 72, 4, 14, 7, 11
2020/7/13, 90, 85, 2, 12, 9, 12
2020/7/14, 106, 69, 25, 10, 8, 11
