date, pm25
2020/11/2, 302
2020/11/3, 201
2020/11/4, 176
2020/11/5, 330
2020/11/6, 311
2020/11/7, 275
2020/11/8, 338
2020/11/9, 337
2020/11/10, 519
2020/11/11, 455
2020/11/12, 193
2020/11/13, 225
2020/11/14, 225
2020/11/15, 393
2020/11/16, 340
2020/11/17, 168
2020/11/18, 159
2020/11/19, 181
2020/11/20, 190
2020/11/21, 215
2020/11/22, 187
2020/11/23, 203
2020/11/24, 207
2020/11/25, 285
2020/11/26, 326
2020/11/27, 176
2020/11/28, 155
2020/11/29, 185
2020/11/30, 182
2020/12/1, 230
2020/10/1, 142
2020/10/2, 154
2020/10/3, 153
2020/10/4, 153
2020/10/5, 145
2020/10/6, 150
2020/10/7, 162
2020/10/8, 158
2020/10/9, 164
2020/10/10, 167
2020/10/11, 167
2020/10/12, 179
2020/10/13, 182
2020/10/14, 180
2020/10/15, 185
2020/10/16, 173
2020/10/17, 184
2020/10/18, 171
2020/10/19, 177
2020/10/20, 166
2020/10/21, 156
2020/10/22, 199
2020/10/23, 254
2020/10/24, 220
2020/10/26, 217
2020/10/27, 226
2020/10/28, 229
2020/10/29, 216
2020/10/30, 276
2020/10/31, 265
2020/11/1, 317
2020/9/1, 53
2020/9/2, 58
2020/9/3, 91
2020/9/4, 102
2020/9/5, 77
2020/9/6, 69
2020/9/7, 118
2020/9/8, 86
2020/9/9, 132
2020/9/10, 131
2020/9/11, 133
2020/9/12, 137
2020/9/13, 149
2020/9/14, 152
2020/9/15, 147
2020/9/16, 148
2020/9/17, 118
2020/9/18, 104
2020/9/19, 136
2020/9/20, 146
2020/9/21, 146
2020/9/22, 98
2020/9/23, 74
2020/9/24, 101
2020/9/25, 128
2020/9/26, 129
2020/9/27, 94
2020/9/28, 147
2020/9/29, 149
2020/9/30, 134
2020/8/1, 94
2020/8/2, 67
2020/8/3, 69
2020/8/4, 70
2020/8/5, 101
2020/8/6, 52
2020/8/7, 72
2020/8/8, 121
2020/8/9, 86
2020/8/10, 81
2020/8/11, 106
2020/8/12, 66
2020/8/13, 46
2020/8/14, 61
2020/8/15, 83
2020/8/16, 58
2020/8/17, 78
2020/8/18, 73
2020/8/19, 61
2020/8/20, 58
2020/8/21, 58
2020/8/22, 50
2020/8/23, 56
2020/8/24, 47
2020/8/25, 53
2020/8/26, 51
2020/8/27, 56
2020/8/28, 70
2020/8/29, 84
2020/8/30, 38
2020/8/31, 45
2020/7/1, 131
2020/7/2, 142
2020/7/3, 144
2020/7/4, 116
2020/7/5, 80
2020/7/6, 114
2020/7/7, 56
2020/7/8, 69
2020/7/9, 85
2020/7/10, 73
2020/7/11, 60
2020/7/12, 62
2020/7/13, 83
2020/7/14, 103
2020/7/15, 105
2020/7/16, 84
2020/7/17, 118
2020/7/18, 109
2020/7/19, 69
2020/7/20, 60
2020/7/21, 67
2020/7/22, 56
2020/7/23, 91
2020/7/24, 103
2020/7/25, 82
2020/7/26, 97
2020/7/27, 86
2020/7/28, 71
2020/7/29, 69
2020/7/30, 52
2020/7/31, 102
2020/6/1, 106
2020/6/2, 104
2020/6/3, 127
2020/6/4, 132
2020/6/5, 99
