date, pm25, pm10, o3, no2, so2
2020/11/2, 4, 10, 15, 12, 
2020/11/3, 3, 8, 18, 11, 
2020/11/4, 1, 6, 19, 7, 
2020/11/5, 1, 14, 12, 7, 
2020/11/6, 2, 18, 8, 10, 
2020/11/7, 2, 14, 5, 9, 
2020/11/8, 3, 17, 2, 9, 
2020/11/9, 3, 28, 2, 13, 
2020/11/10, 5, 22, 1, 13, 
2020/11/11, 5, 19, 8, 14, 
2020/11/12, 3, 21, 12, 11, 
2020/11/13, 3, 18, 9, 17, 
2020/11/14, 4, 17, 9, 16, 
2020/11/15, 5, 18, 24, 13, 
2020/11/16, 4, 5, 28, 5, 
2020/11/17, 1, 12, 15, 18, 
2020/11/18, 3, 23, 2, 19, 
2020/11/19, 5, 11, 27, 11, 
2020/11/20, 3, 6, 19, 8, 
2020/11/21, 1, 14, 13, 13, 
2020/11/22, 3, 24, 4, 16, 
2020/11/23, 5, 27, 3, 19, 1
2020/11/24, 5, 24, 7, 14, 
2020/11/25, 3, 20, 2, 16, 
2020/11/26, 3, 18, 2, 17, 
2020/11/27, 3, 22, 1, 18, 
2020/11/28, 3, 12, 6, 14, 
2020/11/29, 3, 15, 12, 6, 
2020/11/30, 2, 18, 10, 9, 
2020/12/1, 2, , , , 
2020/10/1, 2, 10, 11, 12, 
2020/10/2, 3, 4, 29, 7, 
2020/10/3, 2, 3, 27, 4, 
2020/10/4, 1, 2, 23, 3, 
2020/10/5, 1, 3, 26, 3, 
2020/10/6, 1, 3, 25, 4, 
2020/10/7, 1, 5, 21, 8, 
2020/10/8, 1, 8, 18, 8, 
2020/10/9, 2, 6, 21, 6, 
2020/10/10, 1, 5, 25, 5, 
2020/10/11, 1, 8, 17, 10, 
2020/10/12, 1, 9, 24, 9, 
2020/10/13, 2, 8, 23, 7, 
2020/10/14, 1, 6, 11, 9, 
2020/10/15, 1, 5, 8, 10, 
2020/10/16, 1, 6, 17, 7, 
2020/10/17, 1, 7, 20, 7, 
2020/10/18, 2, 16, 6, 14, 
2020/10/19, 3, 12, 14, 14, 
2020/10/20, 3, 24, 2, 19, 
2020/10/21, 6, 22, 13, 17, 
2020/10/22, 5, 12, 20, 11, 
